personality,title,choice_min_point,choice_max_point,choice_min_word,choice_max_word,point_reversal
no_mobile_phone_phobia,スマホでつねに情報にアクセスできないと落ち着かない。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,情報をチェックしたいときにスマホがないとイライラする。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,スマホで最新の情報（ニュースや天気など）をチェックできないとイライラする。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,アプリを使いたいときにスマホがないとイライラする。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,バッテリーが切れそうになるとドキドキする。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,利用可能なデータの上限に達すると、オロオロしてしまう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,電波やWiFiが入らなくなると、つい何度も電波状況や無料WiFiを探してしまう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホがなくなったら、何もできなくなってしまうだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,しばらくスマホをチェックできないと、更新をチェックしたくてたまらなくなる。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、家族や友人とすぐにコミュニケーションができず不安になるだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、家族や友人が自分に連絡が取れなくて不安になるだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、LINE・メール・着信を取れなくてイライラするだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、家族や友人と連絡が取れず不安になるだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、誰が自分に連絡を取ろうとしたかがわからず不安になるだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、家族や友人との関係が壊れてしまうのを不安に思うだろう,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、リアルの自分とネット上の自分が切り離されてイライラするだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、SNSやネットニュースに着いて行けず落ち着かないだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、SNSやLINEの通知がチェックできなくて落ち着かないだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、メールがチェックできなくて不安になるだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
no_mobile_phone_phobia,もしスマホを失くしたら、何をしていいかわからず変な気分になるだろう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE